Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,41.450001,42.250000,41.000000,41.500000,37.906906,27764700
2021-01-05,41.840000,44.799999,41.830002,43.500000,39.733749,44035100
2021-01-06,44.410000,45.099998,43.700001,44.610001,40.747643,36484800
2021-01-07,45.000000,45.570000,44.529999,44.959999,41.067333,29528100
2021-01-08,45.200001,45.820000,44.950001,45.459999,41.524052,28628200
2021-01-11,45.040001,47.139999,44.750000,46.840000,42.784565,38246200
2021-01-12,47.459999,48.169998,46.910000,47.880001,43.734528,36915100
2021-01-13,48.529999,48.709999,47.689999,48.419998,44.227768,29000300
2021-01-14,48.500000,51.080002,48.500000,50.310001,45.954136,35474800
2021-01-15,48.910000,49.080002,47.290001,47.889999,43.743656,42411300
2021-01-19,48.450001,49.439999,48.349998,48.840000,44.611404,24932600
2021-01-20,49.110001,49.740002,48.990002,49.529999,45.241665,22342400
2021-01-21,49.330002,49.389999,47.680000,48.110001,43.944607,29044500
2021-01-22,47.009998,47.639999,46.639999,47.430000,43.323490,23264800
2021-01-25,46.900002,47.049999,46.160000,46.900002,42.839375,26395800
2021-01-26,47.259998,47.860001,45.849998,45.869999,41.898548,23976800
2021-01-27,45.000000,46.660000,44.529999,45.349998,41.423569,32410300
2021-01-28,45.939999,46.590000,45.689999,46.060001,42.072098,24967200
2021-01-29,45.549999,46.040001,44.509998,44.840000,40.957726,38961100
2021-02-01,45.580002,45.580002,44.290001,44.919998,41.030804,24412400
2021-02-02,45.810001,46.990002,45.279999,45.630001,41.679333,31940400
2021-02-03,45.630001,47.669998,45.419998,47.419998,43.314346,28459300
2021-02-04,47.880001,48.380001,47.250000,48.330002,44.145565,25280300
2021-02-05,49.180000,50.119999,49.040001,49.950001,45.625301,34980100
2021-02-08,50.919998,52.360001,50.709999,52.099998,47.589153,36998700
2021-02-09,50.669998,50.959999,49.770000,50.630001,47.031792,28977000
2021-02-10,50.630001,51.419998,50.389999,51.119999,47.486973,25723800
2021-02-11,50.889999,50.930000,48.779999,49.840000,46.297943,26972200
2021-02-12,49.430000,50.709999,49.410000,50.520000,46.929615,19756700
2021-02-16,51.959999,52.529999,51.619999,52.040001,48.341587,28060100
2021-02-17,52.349998,53.270000,51.799999,52.849998,49.094025,25509700
2021-02-18,52.810001,52.939999,51.860001,52.020000,48.323009,20627600
2021-02-19,52.110001,52.560001,51.919998,52.369999,48.648132,22607200
2021-02-22,52.590000,54.810001,52.590000,54.299999,50.440971,36435100
2021-02-23,54.980000,55.259998,53.740002,55.049999,51.137669,33527900
2021-02-24,55.189999,57.000000,54.869999,56.700001,52.670406,28728600
2021-02-25,56.980000,57.250000,55.349998,55.759998,51.797218,29670900
2021-02-26,54.410000,55.060001,53.119999,54.369999,50.506001,35291000
2021-03-01,56.470001,57.610001,56.130001,56.400002,52.391735,36998300
2021-03-02,56.650002,56.959999,56.020000,56.070000,52.085182,30302600
2021-03-03,56.419998,57.959999,55.880001,56.520000,52.503201,35358900
2021-03-04,57.119999,59.470001,57.099998,58.709999,54.537560,52137500
2021-03-05,59.830002,61.049999,59.110001,60.930000,56.599789,51429800
2021-03-08,61.580002,61.610001,59.820000,60.869999,56.544048,38154600
2021-03-09,60.610001,61.389999,59.470001,59.930000,55.670860,35645900
2021-03-10,60.520000,61.919998,60.029999,61.770000,57.380093,31579100
2021-03-11,61.779999,62.549999,61.259998,61.310001,56.952782,24802600
2021-03-12,61.549999,62.369999,61.500000,61.970001,57.565880,20422700
2021-03-15,61.490002,61.860001,59.869999,60.389999,56.098164,31243600
2021-03-16,59.540001,59.660000,58.439999,59.110001,54.909138,30624800
2021-03-17,58.689999,59.730000,58.619999,59.369999,55.150650,25575500
2021-03-18,58.810001,58.970001,56.520000,56.810001,52.772591,38622800
2021-03-19,56.709999,57.470001,55.810001,56.490002,52.475334,84439400
2021-03-22,56.500000,56.860001,55.900002,55.910000,51.936554,29315100
2021-03-23,54.939999,56.290001,54.450001,55.220001,51.295589,33493300
2021-03-24,56.080002,57.279999,56.080002,56.340000,52.335995,29781800
2021-03-25,55.209999,56.500000,54.500000,56.180000,52.187363,31495900
2021-03-26,57.299999,57.779999,56.520000,57.709999,53.608631,34226500
2021-03-29,57.340000,57.820000,56.740002,57.400002,53.320663,21144400
2021-03-30,56.860001,57.360001,56.490002,56.689999,52.661121,20303400
2021-03-31,56.349998,56.630001,55.799999,55.830002,51.862244,23686500
2021-04-01,56.320000,57.450001,56.139999,57.389999,53.311367,23194500
2021-04-05,57.299999,57.320000,56.139999,56.500000,52.484623,23264800
2021-04-06,56.840000,57.540001,56.259998,56.340000,52.335995,18926300
2021-04-07,56.389999,56.770000,56.240002,56.590000,52.568222,22385000
2021-04-08,55.930000,56.080002,55.320000,56.000000,52.020157,21999300
2021-04-09,56.000000,56.439999,55.529999,55.869999,51.899399,20020700
2021-04-12,56.759998,56.790001,55.310001,55.500000,51.555691,20238800
2021-04-13,55.299999,55.980000,55.090000,55.709999,51.750763,19370600
2021-04-14,56.410000,58.009998,56.250000,57.320000,53.246342,28051100
2021-04-15,57.419998,57.419998,56.779999,56.980000,52.930508,23250300
2021-04-16,57.360001,57.680000,56.439999,56.660000,52.633247,22752000
2021-04-19,56.750000,57.139999,55.959999,56.480000,52.466042,21123300
2021-04-20,56.470001,56.470001,54.779999,55.290001,51.360619,21782100
2021-04-21,54.500000,56.130001,54.299999,56.000000,52.020157,16625600
2021-04-22,55.990002,55.990002,55.020000,55.270000,51.342037,21600100
2021-04-23,55.270000,55.939999,55.180000,55.570000,51.620712,15337900
2021-04-26,55.470001,56.290001,55.439999,55.680000,51.722893,16083800
2021-04-27,56.009998,56.630001,55.810001,56.410000,52.401020,19278600
2021-04-28,56.910000,58.459999,56.790001,58.110001,53.980206,24729800
2021-04-29,58.919998,59.480000,58.150002,58.939999,54.751213,27318400
2021-04-30,58.330002,58.889999,57.160000,57.240002,53.172035,30518400
2021-05-03,57.980000,58.990002,57.740002,58.820000,54.639744,20509600
2021-05-04,59.000000,59.500000,58.509998,59.189999,54.983444,23522200
2021-05-05,59.770000,61.049999,59.400002,60.970001,56.636951,31526200
2021-05-06,60.860001,61.639999,60.029999,61.549999,57.175728,26836800
2021-05-07,61.070000,62.470001,60.849998,62.430000,57.993187,33610600
2021-05-10,63.240002,64.019997,62.529999,62.580002,58.132523,31956600
2021-05-11,61.630001,62.389999,60.389999,60.590000,56.283955,34563800
2021-05-12,60.009998,61.680000,59.750000,60.040001,56.585541,34426500
2021-05-13,59.000000,60.450001,58.750000,59.299999,55.888119,24268200
2021-05-14,59.930000,60.880001,59.930000,60.770000,57.273540,20735400
2021-05-17,60.540001,62.250000,60.430000,62.189999,58.611839,25282500
2021-05-18,62.000000,62.299999,60.400002,60.430000,56.953102,25170800
2021-05-19,59.099998,59.860001,58.419998,58.980000,55.586529,28889800
2021-05-20,58.950001,59.150002,58.240002,58.840000,55.454586,20692500
2021-05-21,59.419998,59.830002,58.849998,58.919998,55.529980,20792700
2021-05-24,59.080002,59.799999,58.689999,59.610001,56.180286,18400300
2021-05-25,59.500000,59.540001,58.119999,58.259998,54.907955,25616100
2021-05-26,58.250000,59.119999,57.900002,58.939999,55.548832,21698700
2021-05-27,59.230000,59.700001,58.020000,58.560001,55.190697,33556000
2021-05-28,58.730000,58.799999,58.110001,58.369999,55.011623,19246800
2021-06-01,59.450001,60.700001,59.450001,60.459999,56.981377,28474200
2021-06-02,60.750000,61.310001,60.169998,60.939999,57.433754,22978300
2021-06-03,60.549999,61.410000,60.349998,61.180000,57.659950,20272800
